,(School Closing): Targeted,(School Closing): General,(School Closing): Recommmended,(School Closing): Required,(Workplace closing): Targeted,(Workplace closing): General,(Workplace closing): Recommmended,(Workplace closing): Required,(Cancel public events): Targeted,(Cancel public events): General,(Cancel public events): Recommmended,(Cancel public events): Required,(Close public transport): Targeted,(Close public transport): General,(Close public transport): Recommmended,(Close public transport): Required,(Public information campaigns): Targeted,(Public information campaigns): General,(Public information campaigns): Yes,(Restrictions on internal movement): Targeted,(Restrictions on internal movement): General,(Restrictions on internal movement): Recommmended,(Restrictions on internal movement): Required,(International travel controls): No measures,(International travel controls): Screening,(International travel controls): Quarantine on high-risk regions,(International travel controls): Ban on high-risk region
-14,0.5178571428571429,2.706730769230769,0.0,1.0,1.375,15.5,0.5795454545454546,1.5535714285714286,0.6666666666666666,1.8846153846153846,1.0972222222222223,0.7412280701754386,3.4545454545454546,4.94,3.7884615384615383,2.630952380952381,1.25,5.353658536585366,0.5833333333333334,6.75,0.2857142857142857,5.229166666666667,7.343023255813954,0.0,-0.03571428571428571,195.26785714285714,3.632978723404255
-13,0.39285714285714285,1.5144230769230769,0.25,0.9278846153846154,1.5,21.402439024390244,0.8977272727272727,4.660714285714286,0.3958333333333333,-0.3894230769230769,0.5833333333333334,0.5657894736842105,9.022727272727273,2.02,8.23076923076923,1.119047619047619,0.15,5.2560975609756095,0.6,2.392857142857143,3.642857142857143,1.4166666666666667,4.5,0.0,0.0,343.42857142857144,4.5212765957446805
-12,0.21666666666666667,4.490384615384615,0.4230769230769231,2.7358490566037736,1.9583333333333333,18.859756097560975,0.9090909090909091,8.56547619047619,0.1875,-0.1346153846153846,0.06944444444444445,0.8552631578947368,11.204545454545455,2.22,9.634615384615385,3.869047619047619,-0.3,0.38095238095238093,0.65625,2.9285714285714284,7.071428571428571,3.625,7.0,0.0,0.09375,-123.66071428571429,4.890625
-11,1.0666666666666667,7.524038461538462,0.35714285714285715,6.268867924528302,2.875,13.176829268292684,1.1818181818181819,5.285714285714286,0.9375,3.1346153846153846,0.4444444444444444,0.7412280701754386,1.2045454545454546,6.26,3.25,7.630952380952381,0.5,3.261904761904762,1.16875,6.392857142857143,12.357142857142858,13.28125,13.534883720930232,0.0,0.15625,-311.10714285714283,2.446078431372549
-10,2.183333333333333,3.490566037735849,0.9821428571428571,2.986111111111111,7.291666666666667,17.408536585365855,1.4318181818181819,6.160714285714286,2.4791666666666665,3.201923076923077,1.4027777777777777,3.2280701754385963,4.909090909090909,4.05,7.0,9.928571428571429,2.2,8.660714285714286,0.4,8.357142857142858,17.583333333333332,18.864583333333332,5.563953488372093,0.0,0.28125,-79.71428571428571,-0.8443396226415094
-9,1.2833333333333334,4.316037735849057,1.5714285714285714,0.5,12.375,37.11585365853659,2.340909090909091,16.095238095238095,3.576923076923077,9.384615384615385,2.4444444444444446,6.538793103448276,15.045454545454545,6.98,14.788461538461538,6.488095238095238,6.375,2.55,1.9659090909090908,4.625,14.089285714285714,8.15625,12.529069767441861,0.25,0.15625,-6.733333333333333,2.7641509433962264
-8,0.8666666666666667,9.735849056603774,0.44642857142857145,5.00462962962963,6.541666666666667,36.25,2.659090909090909,14.494047619047619,3.5384615384615383,15.240384615384615,2.6527777777777777,2.9741379310344827,16.113636363636363,12.93,21.307692307692307,-3.1785714285714284,8.208333333333334,-0.09782608695652174,4.394444444444445,-2.9464285714285716,13.446428571428571,-7.604166666666667,29.63953488372093,0.25,-0.21875,-28.9,6.584821428571429
-7,1.9333333333333333,15.910377358490566,0.5357142857142857,7.8842592592592595,-1.4166666666666667,48.6219512195122,1.9886363636363635,3.761904761904762,2.25,6.4375,0.6111111111111112,1.271551724137931,18.613636363636363,11.09,30.5,3.357142857142857,2.7083333333333335,6.180851063829787,2.7989130434782608,5.85,23.101190476190474,18.302083333333332,21.16860465116279,1.0,-0.125,-44.083333333333336,4.625
-6,2.1666666666666665,8.183962264150944,2.3035714285714284,0.6712962962962963,7.833333333333333,38.079268292682926,0.7272727272727273,11.035714285714286,3.7115384615384617,5.894230769230769,4.763888888888889,6.655172413793103,25.136363636363637,11.55,33.88461538461539,17.273809523809526,3.7916666666666665,9.463541666666666,2.7925531914893615,14.233333333333333,47.30952380952381,48.270833333333336,21.63372093023256,3.25,-0.027777777777777776,-17.5,8.017857142857142
-5,4.133333333333334,18.45754716981132,2.732142857142857,6.1342592592592595,23.270833333333332,10.420731707317072,4.125,27.470238095238095,7.673076923076923,16.817307692307693,13.458333333333334,9.672413793103448,29.318181818181817,7.91,21.096153846153847,24.61904761904762,4.75,10.817708333333334,3.824468085106383,4.366666666666666,52.05952380952381,24.645833333333332,43.44767441860465,2.0,0.325,23.0,17.0
-4,4.433333333333334,41.236111111111114,0.8928571428571429,24.722727272727273,16.541666666666668,10.892857142857142,10.534090909090908,28.156976744186046,8.942307692307692,20.485576923076923,5.194444444444445,10.077586206896552,6.886363636363637,31.14,48.69230769230769,19.154761904761905,11.625,15.428571428571429,4.739795918367347,17.566666666666666,40.366279069767444,27.99,51.81395348837209,-1.0,0.8958333333333334,12.266666666666667,11.772321428571429
-3,5.85,13.328703703703704,1.1785714285714286,11.995454545454546,26.354166666666668,16.982142857142858,5.25,43.5,11.115384615384615,36.94230769230769,-1.2916666666666667,14.081896551724139,6.863636363636363,53.01,80.23076923076923,5.0476190476190474,22.958333333333332,17.147959183673468,8.571428571428571,43.8,44.5406976744186,54.18,62.80232558139535,0.0,0.6458333333333334,-26.583333333333332,9.03125
-2,17.866666666666667,15.856481481481481,2.3214285714285716,16.740909090909092,48.645833333333336,40.708333333333336,7.5,78.25581395348837,23.76923076923077,47.19711538461539,13.069444444444445,24.176724137931036,1.0227272727272727,26.06,3.769230769230769,13.55952380952381,4.857142857142857,11.887254901960784,10.163461538461538,14.633333333333333,19.99418604651163,26.04,94.6453488372093,5.25,0.4642857142857143,-9.483333333333333,20.651785714285715
-1,22.716666666666665,46.916666666666664,7.017857142857143,37.67272727272727,13.625,42.80357142857143,26.681818181818183,56.05813953488372,28.576923076923077,16.70673076923077,19.98611111111111,23.033898305084747,55.18181818181818,19.5,54.86538461538461,26.363636363636363,-1.03125,10.580188679245284,8.122727272727273,13.0,34.26162790697674,36.16,67.92613636363636,10.5,1.65625,10.333333333333334,19.482456140350877
0,12.033333333333333,46.75925925925926,13.428571428571429,27.931818181818183,29.520833333333332,81.41666666666667,28.28409090909091,44.401162790697676,-0.7115384615384616,-3.9086538461538463,5.263888888888889,10.389830508474576,143.6818181818182,69.59,179.07692307692307,3.875,6.6875,32.10526315789474,24.86637931034483,46.833333333333336,100.56976744186046,79.05,42.92045454545455,5.25,2.0441176470588234,1.0833333333333333,22.32894736842105
1,-1.45,45.370370370370374,12.285714285714286,16.836363636363636,51.104166666666664,102.8170731707317,2.0681818181818183,73.48809523809524,44.36538461538461,23.028846153846153,12.625,31.91949152542373,49.79545454545455,101.14,80.42307692307692,0.6363636363636364,-3.0,47.68859649122807,40.547413793103445,23.216666666666665,66.17441860465117,39.58,95.0340909090909,1.25,1.4305555555555556,-2.25,41.5921052631579
2,46.78333333333333,29.528301886792452,15.589285714285714,32.84090909090909,53.770833333333336,58.05625,40.02272727272727,63.08536585365854,99.84615384615384,46.80288461538461,41.4078947368421,56.29237288135593,-21.886363636363637,80.33333333333333,28.096153846153847,17.226190476190474,5.125,33.05603448275862,26.770833333333332,24.5,33.354651162790695,24.82,105.8125,4.0,1.3194444444444444,0.9166666666666666,39.69298245614035
3,74.16666666666667,39.551886792452834,15.464285714285714,53.45,101.10416666666667,84.925,82.2159090909091,75.35975609756098,21.26923076923077,42.51923076923077,29.473684210526315,46.101694915254235,1.5227272727272727,62.869565217391305,41.67307692307692,38.023809523809526,15.59375,28.49122807017544,22.183333333333334,41.95,93.14285714285714,126.27,96.3125,-0.5,3.638888888888889,9.75,25.169642857142858
4,-1.9333333333333333,45.070754716981135,3.267857142857143,33.75909090909091,51.1875,85.3375,16.727272727272727,84.58536585365853,13.826923076923077,32.740196078431374,25.07894736842105,34.36440677966102,19.025,108.8409090909091,63.71153846153846,28.9,-6.6875,54.97844827586207,34.76639344262295,25.5,123.11904761904762,139.01,92.63372093023256,39.0,5.652777777777778,7.3,44.044642857142854
5,11.5,55.448113207547166,12.125,52.55909090909091,17.25,66.3525641025641,4.181818181818182,125.0875,66.98076923076923,50.51470588235294,41.71052631578947,53.601694915254235,76.125,140.57954545454547,163.05769230769232,-0.6625,-3.3125,52.366379310344826,35.50819672131148,28.733333333333334,67.86309523809524,56.38,118.46511627906976,83.75,1.9444444444444444,-3.9833333333333334,58.495535714285715
6,56.3,67.13207547169812,29.428571428571427,60.79545454545455,34.1875,69.38157894736842,50.94318181818182,140.12820512820514,61.5,49.005,64.22368421052632,58.17372881355932,100.9,123.375,203.75,13.8375,17.625,25.025862068965516,35.278688524590166,59.18333333333333,53.82142857142857,104.99,138.52380952380952,19.5,-0.5,-6.116666666666666,46.50454545454546
7,14.466666666666667,72.40566037735849,13.928571428571429,5.045454545454546,89.08333333333333,108.33783783783784,73.07954545454545,77.75,104.25,38.82142857142857,53.14473684210526,45.48728813559322,102.4375,180.0,172.5,11.191176470588236,16.6875,64.16228070175438,67.35,64.23333333333333,117.58974358974359,171.89,104.525,1.25,3.4210526315789473,7.583333333333333,63.60648148148148
8,65.3,101.45283018867924,22.446428571428573,36.25909090909091,189.45454545454547,203.75735294117646,108.67045454545455,84.4,117.6923076923077,50.36702127659574,38.85526315789474,91.59913793103448,33.71875,239.07142857142858,135.78846153846155,52.609375,18.65625,94.23684210526316,80.1,19.714285714285715,118.81756756756756,114.79,92.69444444444444,21.5,7.407894736842105,12.416666666666666,76.10648148148148
9,100.46666666666667,35.004901960784316,43.339285714285715,72.82870370370371,62.79545454545455,177.67424242424244,82.125,89.65714285714286,57.34615384615385,49.920212765957444,50.25,101.77586206896552,-64.1875,192.93421052631578,95.79166666666667,103.13333333333334,18.857142857142858,65.59821428571429,43.894067796610166,13.096153846153847,44.548611111111114,58.229166666666664,105.62903225806451,-43.25,8.171052631578947,-0.8,69.75961538461539
10,32.82142857142857,-19.686274509803923,3.875,59.33490566037736,17.15,107.953125,24.477272727272727,142.03125,107.11538461538461,43.40760869565217,69.53947368421052,43.491379310344826,-53.42857142857143,101.07352941176471,14.208333333333334,45.854166666666664,14.821428571428571,51.214285714285715,22.173728813559322,34.11538461538461,38.27205882352941,117.51086956521739,103.21666666666667,-36.25,3.5526315789473686,-5.116666666666666,82.73076923076923
11,55.42857142857143,-7.348039215686274,26.089285714285715,43.65865384615385,83.325,43.12903225806452,34.72727272727273,144.49166666666667,205.03846153846155,29.58695652173913,143.60526315789474,48.28508771929825,63.25,58.25,26.75,6.475,6.75,22.48181818181818,28.483050847457626,46.75,89.703125,192.1818181818182,88.97321428571429,4.25,16.092105263157894,4.05,77.2156862745098
12,127.57142857142857,-2.877551020408163,90.30357142857143,55.84313725490196,166.3,74.89166666666667,79.70454545454545,132.48214285714286,128.71153846153845,32.34444444444444,109.84210526315789,113.01339285714286,151.65,160.38333333333333,78.95454545454545,1.3125,3.5,62.15,69.74152542372882,15.3125,136.54464285714286,116.5,136.8,-6.5,26.210526315789473,3.9166666666666665,63.575
13,91.625,63.81122448979592,56.964285714285715,108.44607843137256,248.45,121.95833333333333,107.86363636363636,79.17592592592592,118.38461538461539,29.47093023255814,21.19736842105263,125.57272727272728,138.83333333333334,231.23214285714286,27.083333333333332,-34.67857142857143,20.285714285714285,110.10909090909091,98.63135593220339,-35.0,161.90384615384616,72.175,96.5,10.25,7.5375,-0.2857142857142857,79.21808510638297
